0.000 m,
1,988.853149
2,988.851746
3,988.850708
4,988.850403
5,988.850464
6,988.852356
7,988.853271
8,988.852295
9,988.853271
10,988.851868
11,988.852722
12,988.852112
13,988.85437
14,988.857788
15,988.853027
16,988.853516
17,988.851868
18,988.852295
19,988.849915
20,988.85321
21,988.853455
22,988.852417
23,988.853821
24,988.851379
25,988.854004
26,988.852722
27,988.853516
28,988.8526
29,988.853149
30,988.850342
31,988.851868
32,988.856934
33,988.851746
34,988.850647
35,988.852722
36,988.85376
37,988.85022
38,988.850098
39,988.850952
40,988.85083
41,988.851196
42,988.850769
43,988.851196
44,988.852112
45,988.851868
46,988.849976
47,988.851563
48,988.850647
49,988.85022
50,988.849854
51,988.85083
52,988.849365
53,988.847351
54,988.848572
55,988.848572
56,988.847656
57,988.848267
58,988.847168
59,988.846924
60,988.847717
61,988.849426
62,988.848389
63,988.847107
64,988.845947
65,988.845154
66,988.845093
67,988.846558
68,988.846008
69,988.844604
70,988.845337
71,988.84729
72,988.847839
73,988.846558
74,988.844849
75,988.846436
76,988.845215
77,988.845154
78,988.844543
79,988.845642
80,988.845703
81,988.84729
82,988.847107
83,988.846008
84,988.848877
85,988.848145
86,988.846436
87,988.848511
88,988.848755
89,988.846497
90,988.846497
91,988.846252
92,988.848694
93,988.848145
94,988.84729
95,988.847717
96,988.846863
97,988.848206
98,988.844666
99,988.846008
100,988.843384
mu,988.851501
std,0.00124
,
0.040 m,
1,988.866821
2,988.867676
3,988.868896
4,988.867981
5,988.86792
6,988.866943
7,988.866943
8,988.867737
9,988.867188
10,988.869507
11,988.867798
12,988.867188
13,988.870178
14,988.867798
15,988.86792
16,988.865784
17,988.865784
18,988.86554
19,988.864929
20,988.865967
21,988.865051
22,988.865417
23,988.864685
24,988.864624
25,988.86499
26,988.865479
27,988.869324
28,988.865051
29,988.867004
30,988.865723
31,988.864014
32,988.863464
33,988.86554
34,988.865051
35,988.864197
36,988.86499
37,988.867493
38,988.865967
39,988.865417
40,988.866394
41,988.865234
42,988.867188
43,988.866943
44,988.86792
45,988.866821
46,988.86615
47,988.866272
48,988.864929
49,988.866272
50,988.867371
51,988.86615
52,988.866821
53,988.866821
54,988.867371
55,988.865784
56,988.864014
57,988.866638
58,988.866089
59,988.864868
60,988.865234
61,988.868042
62,988.868042
63,988.865051
64,988.866882
65,988.867249
66,988.864502
67,988.864685
68,988.863892
69,988.866943
70,988.862183
71,988.864502
72,988.863281
73,988.862366
74,988.863342
75,988.862061
76,988.861511
77,988.862061
78,988.861633
79,988.862671
80,988.863525
81,988.86438
82,988.86499
83,988.864014
84,988.862488
85,988.863647
86,988.865234
87,988.86377
88,988.86554
89,988.864136
90,988.864685
91,988.864502
92,988.865234
93,988.865784
94,988.86499
95,988.86908
96,988.867004
97,988.867249
98,988.867981
99,988.866638
100,988.868225
mu,988.867859
std,0.000857
,
0.080 m,
1,988.888306
2,988.888489
3,988.889893
4,988.888855
5,988.886414
6,988.884827
7,988.884827
8,988.88501
9,988.88031
10,988.875916
11,988.874939
12,988.871582
13,988.871582
14,988.869446
15,988.86908
16,988.86554
17,988.865234
18,988.865417
19,988.862732
20,988.86322
21,988.861328
22,988.862427
23,988.862732
24,988.861938
25,988.861938
26,988.862732
27,988.862793
28,988.86322
29,988.86322
30,988.863647
31,988.86377
32,988.865417
33,988.862732
34,988.865479
35,988.863464
36,988.864136
37,988.864746
38,988.864014
39,988.862366
40,988.863647
41,988.865295
42,988.864746
43,988.865051
44,988.867004
45,988.867493
46,988.867493
47,988.868103
48,988.869385
49,988.867798
50,988.867981
51,988.870483
52,988.869324
53,988.870056
54,988.871399
55,988.86969
56,988.870483
57,988.871155
58,988.870361
59,988.869995
60,988.870728
61,988.870728
62,988.869934
63,988.871887
64,988.871338
65,988.872803
66,988.869446
67,988.872253
68,988.870056
69,988.872131
70,988.872986
71,988.873779
72,988.870361
73,988.873901
74,988.870544
75,988.86792
76,988.868408
77,988.866089
78,988.867981
79,988.869141
80,988.868103
81,988.866394
82,988.867493
83,988.867798
84,988.86908
85,988.868408
86,988.868591
87,988.869934
88,988.86554
89,988.859985
90,988.859375
91,988.856812
92,988.856018
93,988.858337
94,988.859619
95,988.861023
96,988.860168
97,988.860168
98,988.867798
99,988.860718
100,988.860718
mu,988.888916
std,0.00071
,
0.120 m,
1,988.870361
2,988.870361
3,988.872131
4,988.873779
5,988.872314
6,988.872192
7,988.874451
8,988.873291
9,988.872314
10,988.870239
11,988.871887
12,988.875061
13,988.877563
14,988.877686
15,988.878601
16,988.877319
17,988.877747
18,988.877319
19,988.878967
20,988.878906
21,988.879272
22,988.877991
23,988.87384
24,988.875366
25,988.876038
26,988.873962
27,988.874084
28,988.874451
29,988.877136
30,988.87854
31,988.875549
32,988.87323
33,988.87146
34,988.872131
35,988.871277
36,988.871887
37,988.873657
38,988.872681
39,988.870544
40,988.871338
41,988.869873
42,988.87085
43,988.870544
44,988.870178
45,988.869507
46,988.869446
47,988.867554
48,988.866882
49,988.869507
50,988.871704
51,988.872681
52,988.872559
53,988.872009
54,988.873291
55,988.869873
56,988.871338
57,988.870911
58,988.873901
59,988.874207
60,988.871948
61,988.870605
62,988.87146
63,988.871033
64,988.869995
65,988.869934
66,988.868896
67,988.870544
68,988.870483
69,988.869507
70,988.871155
71,988.871033
72,988.871826
73,988.871643
74,988.871155
75,988.874512
76,988.873657
77,988.872742
78,988.873657
79,988.873291
80,988.873901
81,988.874084
82,988.873535
83,988.871704
84,988.873779
85,988.877563
86,988.876465
87,988.878296
88,988.87677
89,988.876648
90,988.875549
91,988.875732
92,988.873413
93,988.871887
94,988.872009
95,988.872498
96,988.872253
97,988.872437
98,988.873291
99,988.874939
100,988.874695
mu,988.871643
std,0.001642
,
0.160 m,
1,988.873352
2,988.872314
3,988.873413
4,988.873108
5,988.874939
6,988.871582
7,988.873413
8,988.871155
9,988.872253
10,988.872559
11,988.870911
12,988.869995
13,988.868591
14,988.869629
15,988.868286
16,988.868896
17,988.866943
18,988.866699
19,988.868408
20,988.867554
21,988.868591
22,988.867432
23,988.866455
24,988.868347
25,988.866882
26,988.868347
27,988.867126
28,988.86792
29,988.86853
30,988.873413
31,988.871948
32,988.872559
33,988.872192
34,988.870789
35,988.873047
36,988.874146
37,988.871643
38,988.872192
39,988.871887
40,988.872009
41,988.871094
42,988.871155
43,988.870239
44,988.86908
45,988.8703
46,988.86969
47,988.86969
48,988.869995
49,988.869141
50,988.86908
51,988.869629
52,988.871826
53,988.86908
54,988.868652
55,988.867249
56,988.867493
57,988.867004
58,988.869141
59,988.868042
60,988.87146
61,988.869324
62,988.868774
63,988.867981
64,988.868774
65,988.869873
66,988.868591
67,988.868835
68,988.865967
69,988.868835
70,988.867126
71,988.865967
72,988.869385
73,988.869873
74,988.871887
75,988.872498
76,988.874207
77,988.871826
78,988.873596
79,988.875854
80,988.874939
81,988.876892
82,988.877319
83,988.878296
84,988.878967
85,988.879211
86,988.877258
87,988.87854
88,988.878113
89,988.878052
90,988.879211
91,988.87616
92,988.875366
93,988.877991
94,988.877197
95,988.874695
96,988.875854
97,988.875732
98,988.87616
99,988.879089
100,988.879822
mu,988.873047
std,0.000506
,
0.200 m,
1,988.875732
2,988.878845
3,988.878845
4,988.879211
5,988.877014
6,988.87915
7,988.879395
8,988.881653
9,988.880127
10,988.87854
11,988.878052
12,988.879456
13,988.878662
14,988.879761
15,988.879211
16,988.879944
17,988.88147
18,988.881165
19,988.882507
20,988.881226
21,988.880676
22,988.881165
23,988.881592
24,988.879822
25,988.879639
26,988.877441
27,988.877136
28,988.87854
29,988.877686
30,988.87616
31,988.877258
32,988.877563
33,988.876099
34,988.877136
35,988.878052
36,988.877686
37,988.876099
38,988.876221
39,988.879822
40,988.879089
41,988.879089
42,988.878052
43,988.876587
44,988.877441
45,988.876892
46,988.877747
47,988.875549
48,988.877258
49,988.877869
50,988.875793
51,988.877197
52,988.875854
53,988.878601
54,988.880249
55,988.88031
56,988.879822
57,988.880493
58,988.879272
59,988.880798
60,988.880066
61,988.881653
62,988.88208
63,988.882874
64,988.883667
65,988.883972
66,988.883179
67,988.882568
68,988.881409
69,988.880249
70,988.880676
71,988.880005
72,988.880249
73,988.881104
74,988.883667
75,988.882996
76,988.883423
77,988.885498
78,988.883667
79,988.883911
80,988.884949
81,988.884521
82,988.883606
83,988.884827
84,988.883606
85,988.885681
86,988.88385
87,988.88501
88,988.883301
89,988.882507
90,988.88446
91,988.884399
92,988.881592
93,988.881897
94,988.883545
95,988.881958
96,988.882874
97,988.88208
98,988.88385
99,988.883667
100,988.884949
mu,988.878174
std,0.001627